"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 11:35:51 GMT 2022","Wed Mar 30 11:35:51 GMT 2022","157","tests.tagging_ui","test_ticket_source_selects","","","","test_change_issue",""
"passed","Wed Mar 30 11:36:03 GMT 2022","Wed Mar 30 11:36:04 GMT 2022","1192","tests.tagging_ui.tagging_window_controls","test_ticket_window_stats","","","","test_search_no_category",""
"passed","Wed Mar 30 11:35:41 GMT 2022","Wed Mar 30 11:35:43 GMT 2022","1125","tests.tagging_ui","test_tagging_window_models","","","","test_model_management_tab_active",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","43","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_external_tags[second]",""
"passed","Wed Mar 30 11:35:49 GMT 2022","Wed Mar 30 11:35:49 GMT 2022","105","tests.tagging_ui","test_tagging_window_review","","","","test_activate_archived_record_request",""
"passed","Wed Mar 30 11:36:06 GMT 2022","Wed Mar 30 11:36:07 GMT 2022","1114","tests.tagging_ui.tagging_window_controls","test_update_filter","","","","test_update_filter_operator_request",""
"passed","Wed Mar 30 11:35:58 GMT 2022","Wed Mar 30 11:35:58 GMT 2022","12","tests.tagging_ui.tagging_window_controls","test_add_another_sort","","","","test_create_tagging_window_sort_another_req",""
"passed","Wed Mar 30 11:35:53 GMT 2022","Wed Mar 30 11:35:53 GMT 2022","170","tests.tagging_ui.tagging_tickets","test_keyboard_navigation","","","","test_navigate_to_the_next_ticket_by_tab",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","11","tests.tagging_ui.tagging_tickets","test_select_tag","","","","test_update_tags_request",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","17","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_subject[second]",""
"passed","Wed Mar 30 11:35:44 GMT 2022","Wed Mar 30 11:35:44 GMT 2022","105","tests.tagging_ui","test_tagging_window_models","","","","test_activate_archived_record_request",""
"passed","Wed Mar 30 11:35:52 GMT 2022","Wed Mar 30 11:35:52 GMT 2022","11","tests.tagging_ui.tagging_tickets","test_deselect_tag","","","","test_update_tags_deselect_request",""
"passed","Wed Mar 30 11:35:50 GMT 2022","Wed Mar 30 11:35:50 GMT 2022","146","tests.tagging_ui","test_ticket_source_selects","","","","test_change_category",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","18","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_body[second]",""
"passed","Wed Mar 30 11:36:14 GMT 2022","Wed Mar 30 11:36:15 GMT 2022","1102","tests.tagging_ui.tagging_window_controls","test_update_sort","","","","test_update_sort_order_request",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","18","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_body[first]",""
"passed","Wed Mar 30 11:35:52 GMT 2022","Wed Mar 30 11:35:52 GMT 2022","33","tests.tagging_ui.tagging_tickets","test_keyboard_navigation","","","","test_navigate_to_third_tag",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","14","tests.tagging_ui.tagging_tickets","test_select_tag","","","","test_tag_selected",""
"passed","Wed Mar 30 11:35:53 GMT 2022","Wed Mar 30 11:35:53 GMT 2022","30","tests.tagging_ui.tagging_tickets","test_keyboard_navigation","","","","test_search_tags",""
"passed","Wed Mar 30 11:35:59 GMT 2022","Wed Mar 30 11:35:59 GMT 2022","104","tests.tagging_ui.tagging_window_controls","test_add_sort","","","","test_sort_value",""
"passed","Wed Mar 30 11:35:43 GMT 2022","Wed Mar 30 11:35:44 GMT 2022","1171","tests.tagging_ui","test_tagging_window_models","","","","test_model_management_tab_archive",""
"passed","Wed Mar 30 11:35:37 GMT 2022","Wed Mar 30 11:35:37 GMT 2022","24","tests.tagging_ui","test_landing_page","","","","test_check_page_contents",""
"passed","Wed Mar 30 11:35:56 GMT 2022","Wed Mar 30 11:35:56 GMT 2022","16","tests.tagging_ui.tagging_tickets","test_tickets_view","","","","test_ticket_external_tags[first]",""
"passed","Wed Mar 30 11:35:49 GMT 2022","Wed Mar 30 11:35:49 GMT 2022","120","tests.tagging_ui","test_tagging_window_review","","","","test_archive_active_record_request",""
"passed","Wed Mar 30 11:36:00 GMT 2022","Wed Mar 30 11:36:00 GMT 2022","219","tests.tagging_ui.tagging_window_controls","test_ticket_window_stats","","","","test_categories_stats",""
